,modelname,manufacturer,category,categoryinfo2,categoryinfo3,Program url
168,Parallel-Shaft Helical Gear Reducer Dissectible,,DAC Worldwide Training Solutions,Electrical / Electronics,,https://tech-labs.com/products/parallel-shaft-helical-gear-reducer-dissectible
169,Permanent Magnet DC Motor Cutaway,,DAC Worldwide Training Solutions,Dissectibles,,https://tech-labs.com/products/permanent-magnet-dc-motor-cutaway
170,Permanent Magnet DC Motor Training System,,Mechanical Drives,"Pumps, Compressors & Valves",,https://tech-labs.com/products/permanent-magnet-dc-motor-training-system
171,Phillips Cascade Process (LNG) System Training Aid,,DAC Worldwide Training Solutions,DAC Models,,https://tech-labs.com/products/phillips-cascade-process-lng-system-training-aid
172,Piping Component Sample Board,,DAC Models,DAC Models,,https://tech-labs.com/products/piping-component-sample-board
173,Piping System Model,,DAC Cutaways,Dissectibles,,https://tech-labs.com/products/piping-system-model
174,Piston Check Valve Cutaway,,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/piston-check-valve-cutaway
175,Planetary Gear Reducer Cutaway,,DAC Worldwide Training Solutions,Dissectibles,,https://tech-labs.com/products/planetary-gear-reducer-cutaway
176,Planetary Gear Reducer Dissectible,,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/planetary-gear-reducer-dissectible
177,Plate-Type Heat Exchanger Model,,DAC Worldwide Training Solutions,Dissectibles,,https://tech-labs.com/products/plate-type-heat-exchanger-model
178,Pneumatic Component Cutaway Set,,Dissectibles,Dissectibles,,https://tech-labs.com/products/pneumatic-component-cutaway-set
179,Pneumatic Level Controller Assembly Cutaway,,DAC Worldwide Training Solutions,DAC Models,,https://tech-labs.com/products/pneumatic-level-controller-assembly-cutaway
180,Pneumatic Level Switch Training Aid,,Chemical Engineering,DAC Models,,https://tech-labs.com/products/pneumatic-level-switch-training-aid
181,Pneumatic Surface Safety Valve Cutaway,,DAC Sample Boards,Heat Transfer & Steam,,https://tech-labs.com/products/pneumatic-surface-safety-valve-cutaway
182,Portable Calibration Training System,,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/portable-calibration-training-system
183,Pressure Control Switch Sample Dissectible,,DAC Worldwide Training Solutions,Dissectibles,,https://tech-labs.com/products/pressure-control-switch-sample-dissectible
184,Pressure Switch Sample Dissectible,,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/pressure-switch-sample-dissectible
185,Pulsed Liquid-Liquid Extraction,,Mechanical Drives,Dissectibles,,https://tech-labs.com/products/pulsed-liquid-liquid-extraction
186,Pump Impeller Sample Board,,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/pump-impeller-sample-board
187,Pumpjack Model,,Mechanical Drives,Electrical/Electronics,,https://tech-labs.com/products/pumpjack-model
188,Reciprocating Compressor Model,,DAC Worldwide Training Solutions,Dissectibles,,https://tech-labs.com/products/reciprocating-compressor-model
189,"Representative Triplex, Plunger Mud Pump Dissectible",,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/representative-triplex-plunger-mud-pump-dissectible
190,Right Angle Spiral Bevel Gear Reducer Cutaway,,DAC Worldwide Training Solutions,Electrical/Electronics,,https://tech-labs.com/products/right-angle-spiral-bevel-gear-reducer-cutaway
191,Right Angle Spiral Bevel Gear Reducer Dissectible,,DAC Worldwide Training Solutions,Electrical/Electronics,,https://tech-labs.com/products/right-angle-spiral-bevel-gear-reducer-dissectible
192,Right Angle Straight Bevel Gear Reducer Cutaway,,DAC Training Systems,Electrical/Electronics,,https://tech-labs.com/products/right-angle-straight-bevel-gear-reducer-cutaway
193,Right Angle Straight Bevel Gear Reducer Dissectible,,HVAC Training,Dissectibles,,https://tech-labs.com/products/right-angle-straight-bevel-gear-reducer-dissectible
194,Right Angle Worm Gear Reducer Dissectible,,DAC Worldwide Training Solutions,Mechanical Drives Cutaways,,https://tech-labs.com/products/right-angle-worm-gear-reducer-dissectible
195,Rod Pump Stuffing Box Assembly Replica Model,,HVAC Training,Heat Transfer & Steam,,https://tech-labs.com/products/rod-pump-stuffing-box-assembly-replica-model
196,"Rotary Drilling Bit Replica Set, 9-Piece",,DAC Worldwide Training Solutions,Dissectibles,,https://tech-labs.com/products/rotary-drilling-bit-replica-set-9-piece
197,Rotary Kiln Maintenance Training System,,Mechanical Drives,Dissectibles,,https://tech-labs.com/products/rotary-kiln-maintenance-training-system
198,Schrader Service Valve Cutaway,,DAC Cutaways,Dissectibles,,https://tech-labs.com/products/schrader-service-valve-cutaway
199,Screw Pump Dissectible (Imo),,DAC Worldwide Training Solutions,DAC Models,,https://tech-labs.com/products/screw-pump-dissectible-imo
200,Semi-Hermetic Compressor Cutaway,,HVAC Training,DAC Models,,https://tech-labs.com/products/semi-hermetic-compressor-cutaway
201,"Shaft Mounted, Hollow-Shaft Helical Gear Reducer Dissectible",,DAC Cutaways,Process Control & Instrumentation,,https://tech-labs.com/products/shaft-mounted-hollow-shaft-helical-gear-reducer-dissectible
202,"Shaft-Mounted, Hollow-Shaft Helical Gear Reducer Cutaway",,DAC Cutaways,DAC Cutaways,,https://tech-labs.com/products/shaft-mounted-hollow-shaft-helical-gear-reducer-cutaway
203,Shunt Wound DC Motor Cutaway,,DAC Cutaways,Electrical/Electronics,,https://tech-labs.com/products/shunt-wound-dc-motor-cutaway
204,Sight Flow Indicator Sample Dissectible,,DAC Worldwide Training Solutions,Electrical/Electronics,,https://tech-labs.com/products/sight-flow-indicator-sample-dissectible
205,Sightglass with Moisture Indicator Cutaway,,DAC Cutaways,Electrical/Electronics,,https://tech-labs.com/products/sightglass-moisture-indicator-cutaway
206,Single Phase Capacitor-Start AC Motor Cutaway,,DAC Cutaways,Electrical/Electronics,,https://tech-labs.com/products/single-phase-capacitor-start-ac-motor-cutaway
207,Single-Phase PSC AC Motor Cutaway,,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/single-phase-psc-ac-motor-cutaway
208,Single-Phase Transformer Cutaway,,Chemical Engineering,Heat Transfer & Steam,,https://tech-labs.com/products/single-phase-transformer-cutaway
209,Sliding Vane Pump Dissectible,,DAC Worldwide Training Solutions,Mechanical Drives,,https://tech-labs.com/products/sliding-vane-pump-dissectible
210,Spherical Roller Bearing Pillow Block Assembly Cutaway,,DAC Worldwide Training Solutions,"Pumps, Compressors & Valves",,https://tech-labs.com/products/spherical-roller-bearing-pillow-block-assembly-cutaway
211,Steam Trap Cutaway Assortment,,DAC Worldwide Training Solutions,"Pumps, Compressors & Valves",,https://tech-labs.com/products/steam-trap-cutaway-assortment
212,Steam Turbine Dissectible,,DAC Worldwide Training Solutions,Dissectibles,,https://tech-labs.com/products/steam-turbine-dissectible
213,Stirred Liquid-Liquid Extraction,,DAC Training Systems,DAC Cutaways,,https://tech-labs.com/products/stirred-liquid-liquid-extraction
214,Submersible Vertical Turbine Pump Dissectible,,DAC Worldwide Training Solutions,Dissectibles,,https://tech-labs.com/products/submersible-vertical-turbine-pump-dissectible
215,Submersible Vertical Turbine Pump Dissectible (Goulds/IR/Durco/Aurora),,DAC Cutaways,Mechanical Drives,,https://tech-labs.com/products/submersible-vertical-turbine-pump-dissectible-gouldsirdurcoaurora
216,Sucker Rod Pump Model,,DAC Cutaways,Mechanical Drives,,https://tech-labs.com/products/sucker-rod-pump-model
217,Surge Suppressor Model,,DAC Cutaways,DAC Models,,https://tech-labs.com/products/surge-suppressor-model
218,Temperature Process Control Training System Plus,,DAC Training Systems,Process Control & Instrumentation,,https://tech-labs.com/products/temperature-process-control-training-system-plus
219,Temperature Regulator Cutaway,,DAC Worldwide Training Solutions,Process Control & Instrumentation,,https://tech-labs.com/products/temperature-regulator-cutaway
220,Three-Phase Squirrel-Cage AC Motor Cutaway,,DAC Models,Heat Transfer & Steam,,https://tech-labs.com/products/three-phase-squirrel-cage-ac-motor-cutaway
221,Three-Phase Squirrel-Cage Explosion-Proof AC Motor Cutaway,,DAC Cutaways,Mechanical Drives,,https://tech-labs.com/products/three-phase-squirrel-cage-explosion-proof-ac-motor-cutaway
222,Three-Phase Transformer Cutaway,,DAC Training Systems,Mechanical Drives,,https://tech-labs.com/products/three-phase-transformer-cutaway
223,Transformer Connections Training System,,DAC Training Systems,Heat Transfer & Steam,,https://tech-labs.com/products/transformer-connections-training-system
224,Treater Dump Valve Cutaway,,DAC Worldwide Training Solutions,Machining & Measurement,,https://tech-labs.com/products/treater-dump-valve-cutaway
225,U-Tube Heat Exchanger Training Model,,Mechanical Drives,DAC Cutaways,,https://tech-labs.com/products/u-tube-heat-exchanger-training-model
226,Urethane Tire Coupling Cutaway,,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/urethane-tire-coupling-cutaway
227,Valve Packing Training System,,DAC Training Systems,,,https://tech-labs.com/products/valve-packing-training-system
228,Valve Packing Training System Plus,,DAC Training Systems,,,https://tech-labs.com/products/valve-packing-training-system-plus
229,Variable Area Flow Meter Dissectible,,DAC Worldwide Training Solutions,,,https://tech-labs.com/products/variable-area-flow-meter-dissectible
230,Variable Speed Gear Reducer Cutaway,,DAC Training Systems,,,https://tech-labs.com/products/variable-speed-gear-reducer-cutaway
231,Vertical Centrifugal Pump Dissectible,,DAC Training Systems,,,https://tech-labs.com/products/vertical-centrifugal-pump-dissectible
232,Vertical Coupling / Shaft Alignment Training,,DAC Models,,,https://tech-labs.com/products/vertical-coupling-shaft-alignment-training
233,Vertical Coupling Shaft Alignment Training System Plus,,DAC Training Systems,,,https://tech-labs.com/products/vertical-coupling-shaft-alignment-training-system-plus
234,Vertical Cross-Flow Separator Model,,DAC Training Systems,,,https://tech-labs.com/products/vertical-cross-flow-separator-model
235,Vertical Separator Trainer,,DAC Models,,,https://tech-labs.com/products/vertical-separator-trainer
236,Vertical Separator Training System Plus,,DAC Sample Boards,,,https://tech-labs.com/products/vertical-separator-training-system-plus
237,Vertical Thermosyphon Reboiler Heat Exchanger Training Model,,DAC Worldwide Training Solutions,,,https://tech-labs.com/products/vertical-thermosyphon-reboiler-heat-exchanger-training-model
238,Vibration Analysis Training System,,Mechanical Drives,,,https://tech-labs.com/products/vibration-analysis-training-system
239,Vibration Analysis Training System Plus,,,,,https://tech-labs.com/products/vibration-analysis-training-system-plus
240,Water Tube Boiler Model,,,,,https://tech-labs.com/products/water-tube-boiler-model
241,Weld Fault Comparison Kit,,,,,https://tech-labs.com/products/weld-fault-comparison-kit
242,Wellhead Backpressure Regulator Cutaway,,,,,https://tech-labs.com/products/wellhead-backpressure-regulator-cutaway
243,Wrap-Spring Clutch Sample,,,,,https://tech-labs.com/products/wrap-spring-clutch-sample
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,,,,
